# Ee dN/dEe
1.000000000000000056e-01 1.861909811996247103e-14
5.994842503189410365e-01 7.578262471816975507e-14
3.593813663804627634e+00 2.507054379340616034e-13
2.154434690031884614e+01 7.408545637694854831e-13
1.291549665014883885e+02 2.056699293489384901e-12
7.742636826811269657e+02 5.414050327977523982e-12
4.641588833612781855e+03 5.352481104561365973e-12
2.782559402207125822e+04 7.814684677410603680e-12
1.668100537200059043e+05 1.269510865580492659e-11
1.000000000000000000e+06 0.000000000000000000e+00
